neighbourhood,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,availability_365,cancellation_policy,price
17,7,0,7,2.0,3.0,4.0,4,365,0,300.0
17,0,0,2,1.0,0.0,1.0,4,23,2,119.0
17,0,0,2,1.0,0.0,1.0,4,120,1,175.0
17,7,0,6,2.0,2.0,2.0,4,290,2,195.0
17,3,0,4,1.0,2.0,2.0,4,0,2,145.0
17,0,0,4,1.0,2.0,2.0,4,340,1,200.0
17,7,1,1,1.0,1.0,1.0,2,339,0,90.0
17,0,0,4,1.0,2.0,2.0,4,310,1,210.0
17,0,1,2,1.0,1.0,1.0,4,59,1,75.0
17,0,1,2,1.0,1.0,1.0,4,0,0,46.0
17,3,1,2,1.0,1.0,1.0,4,365,0,75.0
17,0,0,6,1.0,3.0,3.0,4,364,0,500.0
17,0,1,2,1.0,1.0,1.0,4,146,2,60.0
17,0,0,5,1.0,1.0,2.0,4,299,1,130.0
17,0,0,6,1.5,2.0,3.0,4,198,1,190.0
17,0,1,2,1.0,1.0,1.0,4,358,1,100.0
17,7,0,6,3.0,3.0,6.0,4,353,0,450.0
17,0,0,8,2.0,4.0,4.0,4,292,2,399.0
17,0,0,5,1.0,2.0,2.0,4,240,1,350.0
17,0,0,4,1.0,2.0,2.0,4,0,1,200.0
17,0,1,2,1.0,1.0,1.0,4,0,1,99.0
17,7,0,6,2.0,3.0,4.0,4,327,0,295.0
17,0,1,2,1.0,1.0,1.0,4,363,0,107.0
17,0,1,1,1.0,1.0,1.0,4,88,1,69.0
17,0,1,2,1.0,1.0,1.0,4,149,2,76.0
17,0,0,2,1.0,1.0,1.0,4,184,1,75.0
17,7,1,1,1.0,1.0,1.0,4,0,0,55.0
17,0,1,2,1.0,1.0,2.0,4,0,0,65.0
17,3,1,2,1.5,1.0,1.0,4,0,1,59.0
17,7,1,2,1.0,1.0,1.0,4,0,1,88.0
17,7,0,5,2.0,4.0,3.0,4,0,1,164.0
17,7,0,2,1.0,0.0,1.0,4,283,1,90.0
17,0,0,4,2.0,2.0,2.0,4,0,0,185.0
17,0,1,2,1.0,1.0,1.0,4,0,0,80.0
17,7,1,2,1.0,1.0,1.0,4,335,2,105.0
17,7,1,2,1.0,1.0,1.0,4,266,1,90.0
17,0,0,2,1.0,1.0,1.0,4,284,2,100.0
17,0,0,5,1.5,2.0,3.0,4,0,2,200.0
17,0,0,8,1.5,4.0,4.0,4,133,2,300.0
17,7,1,2,1.0,1.0,1.0,4,0,0,60.0
17,0,0,6,1.0,3.0,3.0,4,145,1,319.0
17,0,1,2,1.0,1.0,1.0,4,143,1,85.0
17,3,1,2,2.0,1.0,1.0,4,0,0,70.0
17,0,1,2,1.0,1.0,1.0,4,24,0,50.0
17,0,0,4,1.0,1.0,1.0,4,146,1,119.0
17,3,0,3,1.0,1.0,2.0,4,0,2,125.0
17,0,1,2,1.0,1.0,1.0,4,0,0,53.0
17,0,1,4,1.0,1.0,1.0,4,365,2,125.0
17,0,0,4,1.0,2.0,2.0,4,292,2,205.0
17,3,0,5,1.0,2.0,2.0,4,213,2,114.0
17,0,1,2,1.0,1.0,1.0,4,337,1,75.0
17,0,0,2,1.0,1.0,1.0,4,73,2,185.0
17,0,1,2,1.0,1.0,1.0,4,159,0,75.0
17,0,0,4,2.5,2.0,2.0,4,0,2,180.0
17,0,2,2,1.0,1.0,1.0,3,57,0,70.0
17,1,0,2,1.0,1.0,2.0,4,211,2,150.0
17,0,0,4,1.0,2.0,2.0,4,5,1,120.0
17,0,1,2,2.0,1.0,1.0,4,163,2,92.0
17,0,1,2,1.0,1.0,1.0,4,9,1,84.0
17,0,0,4,1.0,2.0,2.0,4,248,2,200.0
17,0,0,2,1.0,1.0,1.0,4,314,2,115.0
17,10,1,2,1.0,1.0,1.0,4,35,2,95.0
17,7,0,6,1.0,4.0,4.0,4,168,2,275.0
17,0,0,9,1.0,4.0,4.0,4,328,2,230.0
17,0,0,4,1.0,1.0,4.0,4,129,1,130.0
17,0,0,5,1.0,2.0,3.0,4,177,1,192.0
17,0,0,5,1.0,3.0,4.0,4,305,1,175.0
17,0,1,2,1.0,1.0,1.0,4,365,0,70.0
17,10,1,2,1.5,1.0,1.0,4,21,1,65.0
17,0,1,2,1.0,1.0,1.0,4,0,0,100.0
17,0,0,3,1.0,1.0,1.0,4,0,0,185.0
17,7,0,10,2.5,5.0,5.0,4,4,2,250.0
17,7,0,5,1.5,2.0,3.0,4,13,0,150.0
17,0,0,6,1.0,2.0,4.0,4,298,1,168.0
17,0,1,2,1.0,1.0,1.0,4,159,0,60.0
17,0,1,2,1.0,1.0,1.0,4,346,1,59.0
17,7,1,2,1.0,1.0,1.0,4,328,0,60.0
17,0,0,4,1.0,2.0,4.0,4,0,0,145.0
17,0,1,2,1.0,1.0,1.0,4,0,1,80.0
17,0,0,3,1.0,1.0,2.0,4,334,2,114.0
17,7,1,2,1.0,1.0,1.0,4,364,0,170.0
17,0,0,6,2.0,2.0,2.0,4,308,2,240.0
17,0,0,4,1.0,2.0,2.0,4,248,0,150.0
17,0,1,2,1.0,1.0,1.0,2,290,2,69.0
17,0,1,2,1.0,1.0,1.0,4,302,2,80.0
17,0,1,2,1.0,1.0,1.0,4,349,1,85.0
17,0,1,4,1.0,1.0,2.0,4,121,1,75.0
17,0,0,4,1.0,2.0,2.0,4,0,0,150.0
17,7,1,2,2.0,1.0,1.0,4,258,1,70.0
17,7,1,3,1.0,1.0,2.0,4,298,0,80.0
17,0,0,7,1.5,3.0,4.0,4,288,1,225.0
17,0,0,4,1.0,2.0,2.0,4,154,2,225.0
17,7,0,4,2.0,2.0,2.0,4,248,0,178.0
17,0,0,4,1.0,2.0,2.0,4,153,1,175.0
17,0,0,3,1.0,0.0,2.0,4,47,1,109.0
17,3,0,10,2.0,5.0,6.0,4,286,2,383.0
17,3,1,2,1.5,1.0,1.0,4,0,0,90.0
17,0,0,6,1.0,2.0,3.0,4,209,0,99.0
17,0,1,2,1.0,1.0,1.0,4,178,1,50.0
17,7,0,6,2.0,4.0,5.0,4,175,0,184.0
17,0,1,2,1.0,1.0,1.0,4,302,1,80.0
17,7,1,2,1.0,1.0,1.0,4,41,1,85.0
17,0,0,2,1.0,1.0,2.0,4,339,0,150.0
17,0,0,2,1.0,1.0,1.0,4,0,2,100.0
17,10,1,2,1.5,1.0,2.0,4,20,1,84.0
17,0,0,4,1.0,1.0,2.0,4,296,1,130.0
17,7,1,2,2.0,1.0,1.0,4,0,0,70.0
17,3,0,2,1.0,1.0,1.0,4,224,2,125.0
17,0,1,2,1.0,1.0,1.0,4,248,0,70.0
17,1,1,1,1.5,1.0,1.0,4,358,1,75.0
17,7,1,2,1.0,1.0,1.0,4,259,1,95.0
17,1,1,2,1.0,1.0,2.0,4,130,0,70.0
17,0,0,6,1.0,3.0,3.0,4,0,0,299.0
17,7,1,1,1.5,1.0,1.0,4,0,1,70.0
17,5,0,6,2.0,2.0,3.0,4,121,1,155.0
17,0,0,4,2.0,2.0,2.0,4,0,1,250.0
17,0,1,2,1.0,1.0,1.0,4,348,1,115.0
17,7,1,3,1.0,1.0,2.0,4,326,1,70.0
17,7,0,3,1.0,1.0,2.0,4,319,1,135.0
17,3,1,2,1.0,1.0,1.0,4,338,2,120.0
17,8,0,4,1.5,1.0,1.0,4,240,1,130.0
17,0,1,3,1.0,1.0,1.0,4,0,2,29.0
17,0,0,6,1.0,3.0,5.0,4,90,2,300.0
17,7,1,1,2.0,1.0,1.0,4,108,1,50.0
17,3,0,2,1.0,1.0,1.0,4,279,2,119.0
17,0,1,2,1.0,1.0,1.0,2,167,1,46.0
17,3,0,6,1.0,2.0,3.0,4,156,2,295.0
17,0,0,5,1.0,2.0,3.0,4,201,2,130.0
17,3,0,6,2.0,2.0,2.0,4,7,2,180.0
17,0,0,7,1.0,2.0,4.0,4,156,0,300.0
17,0,0,5,1.0,2.0,3.0,4,349,1,200.0
17,0,0,2,1.0,1.0,1.0,4,304,2,136.0
17,7,1,5,1.0,1.0,2.0,4,326,2,88.0
17,7,0,2,1.5,1.0,1.0,4,0,2,135.0
17,7,0,2,1.0,1.0,1.0,4,284,1,135.0
17,1,1,2,1.0,1.0,1.0,4,305,0,75.0
17,7,1,2,1.0,1.0,1.0,4,41,0,75.0
17,0,1,2,1.0,1.0,1.0,4,364,1,125.0
17,3,1,1,1.0,1.0,1.0,4,156,1,88.0
17,0,1,1,1.0,1.0,1.0,4,365,0,72.0
17,7,1,2,1.0,1.0,1.0,4,338,1,90.0
17,0,1,2,2.0,1.0,1.0,3,0,0,150.0
17,0,1,2,1.0,1.0,1.0,4,4,0,82.0
